ml_edge_min,ml_edge_max,favorites_only,rolling_weight_7,rating_cap_low,rating_cap_high,w_rolling_off,w_woba,w_xwoba,w_k_off,w_bb_off,w_rolling_pit,w_fip,w_xfip,w_k_pit,w_bb_pit,rolling_weight_15,n_bets,win_rate,roi,profit,run_date,seed,n_trials,run_time_mins
0.04,0.15,False,0.6,0.7,1.6,0.37499999999999994,0.125,0.0,0.25,0.25,0.12500000000000003,0.12500000000000003,0.25000000000000006,0.375,0.12500000000000003,0.4,3809,0.4655,-3.4536,-13154.75,2026-05-17,58703,100,93.7
0.05,0.15,False,0.7,0.65,1.6,0.16666666666666666,0.16666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.27272727272727276,0.18181818181818185,0.18181818181818185,0.09090909090909093,0.27272727272727276,0.30000000000000004,3212,0.4524,-3.4633,-11123.99,2026-05-17,58703,100,93.7
0.05,0.08,False,0.5,0.65,1.3,0.33333333333333337,0.11111111111111113,0.0,0.33333333333333337,0.22222222222222227,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.24999999999999994,0.24999999999999994,0.5,1341,0.4713,-3.4768,-4662.43,2026-05-17,58703,100,93.7
0.06,0.1,True,0.7,0.65,1.4,0.28571428571428575,0.4285714285714286,0.0,0.14285714285714288,0.14285714285714288,0.14285714285714288,0.28571428571428575,0.28571428571428575,0.14285714285714288,0.14285714285714288,0.30000000000000004,653,0.5651,-3.4927,-2280.74,2026-05-17,58703,100,93.7
0.03,1.0,True,0.8,0.7,1.4,0.4,0.2,0.0,0.2,0.2,0.19999999999999996,0.09999999999999998,0.29999999999999993,0.29999999999999993,0.09999999999999998,0.19999999999999996,2544,0.5676,-3.7278,-9483.43,2026-05-17,58703,100,93.7
0.06,0.1,True,0.8,0.6,1.6,0.16666666666666666,0.16666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.22222222222222224,0.3333333333333333,0.11111111111111112,0.22222222222222224,0.11111111111111112,0.19999999999999996,609,0.555,-3.8345,-2335.23,2026-05-17,58703,100,93.7
0.07,0.2,True,0.7,0.65,1.5,0.2222222222222222,0.2222222222222222,0.0,0.2222222222222222,0.33333333333333326,0.27272727272727276,0.09090909090909093,0.27272727272727276,0.18181818181818185,0.18181818181818185,0.30000000000000004,985,0.5533,-3.8356,-3778.1,2026-05-17,58703,100,93.7
0.04,0.15,True,0.7,0.65,1.6,0.5,0.16666666666666669,0.0,0.16666666666666669,0.16666666666666669,0.11111111111111112,0.3333333333333333,0.22222222222222224,0.22222222222222224,0.11111111111111112,0.30000000000000004,1932,0.5735,-3.8638,-7464.86,2026-05-17,58703,100,93.7
0.05,0.15,False,0.8,0.65,1.4,0.16666666666666669,0.33333333333333337,0.0,0.33333333333333337,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.33333333333333337,0.16666666666666669,0.19999999999999996,3011,0.441,-3.9145,-11786.55,2026-05-17,58703,100,93.7
0.07,0.15,True,0.5,0.65,1.6,0.2,0.2,0.0,0.3,0.3,0.16666666666666669,0.25,0.08333333333333334,0.25,0.25,0.5,577,0.5442,-4.1387,-2388.01,2026-05-17,58703,100,93.7
