roi,win_rate,n_bets,threshold,w_comb_k_pct,seed
-5.361795764033294,0.5008726003490401,1146,1.9701742362009438,1.0,24331
-5.370861897315486,0.5006002400960384,1666,1.7092031910837364,1.0,24331
-5.3751048155685215,0.5003417634996582,1463,1.7985858934480037,1.0,24331
-5.400683883605856,0.5003111387678905,1607,1.7367524837349317,1.0,24331
-5.4332072133910865,0.5004255319148936,1175,1.9509784204754437,1.0,24331
-5.43813521019643,0.5004248088360238,1177,1.947250815162569,1.0,24331
-5.462342651081232,0.4972375690607735,362,2.725564248564717,1.0,24331
-5.517849515272589,0.5,1190,1.9375522962765066,1.0,24331
-5.524694952296178,0.49728260869565216,368,2.718430021861664,1.0,24331
-5.590023838949656,0.49955396966993754,1121,1.9852360054635028,1.0,24331
-5.594956520200242,0.49955317247542447,1119,1.989204066613755,1.0,24331
-5.597315599185219,0.49958298582151794,1199,1.9347323110502916,1.0,24331
-5.601871831881556,0.4995836802664446,1201,1.9341837003782663,1.0,24331
-5.6526878840516925,0.49910340705319783,1673,1.7041695905685348,1.0,24331
-5.6526878840516925,0.49910340705319783,1673,1.7036420541251336,1.0,24331
-5.680406048327578,0.49916805324459235,1202,1.9338559623738867,1.0,24331
-5.682888981308695,0.49884704073789393,1301,1.881013141789382,1.0,24331
-5.691208023640635,0.49910394265232977,1116,1.9908455050666025,1.0,24331
-5.697449815602522,0.49884348496530456,1297,1.883942354486027,1.0,24331
-5.754025228822701,0.4984472049689441,1288,1.8867828607941837,1.0,24331
-5.77177601720542,0.49625935162094764,401,2.6628686903234957,1.0,24331
-5.780163732523548,0.49678800856531047,467,2.583933643758703,1.0,24331
-5.7972354587046455,0.49837662337662336,1232,1.915144931367323,1.0,24331
-5.808362836386716,0.49743589743589745,2340,1.415445633632105,1.0,24331
-5.830440627285344,0.49805749805749805,1287,1.8875199412308716,1.0,24331
