ml_edge_min,ml_edge_max,favorites_only,rolling_weight_7,rating_cap_low,rating_cap_high,w_rolling_off,w_woba,w_xwoba,w_k_off,w_bb_off,w_rolling_pit,w_fip,w_xfip,w_k_pit,w_bb_pit,rolling_weight_15,n_bets,win_rate,roi,profit
0.04,0.2,False,0.7,0.6,1.4,0.3333333333333333,0.16666666666666666,0.0,0.16666666666666666,0.3333333333333333,0.1,0.3,0.3,0.1,0.2,0.30000000000000004,4271,0.4631,-2.4012,-10255.73
0.04,0.15,True,0.6,0.7,1.6,0.37499999999999994,0.125,0.0,0.25,0.25,0.18181818181818182,0.2727272727272727,0.2727272727272727,0.09090909090909091,0.18181818181818182,0.4,1664,0.5739,-2.4285,-4040.99
0.04,0.1,False,0.5,0.6,1.4,0.16666666666666669,0.5,0.0,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.25,0.25,0.16666666666666669,0.5,2566,0.4556,-2.5312,-6495.09
0.06,0.15,True,0.7,0.6,1.6,0.25,0.125,0.0,0.25,0.37499999999999994,0.22222222222222224,0.3333333333333333,0.11111111111111112,0.22222222222222224,0.11111111111111112,0.30000000000000004,1036,0.5627,-2.5328,-2623.97
0.07,0.2,True,0.8,0.7,1.3,0.25000000000000006,0.375,0.0,0.25000000000000006,0.12500000000000003,0.3,0.2,0.1,0.2,0.2,0.19999999999999996,1270,0.5669,-2.5373,-3222.36
0.06,0.1,False,0.6,0.7,1.3,0.28571428571428575,0.4285714285714286,0.0,0.14285714285714288,0.14285714285714288,0.375,0.25000000000000006,0.12500000000000003,0.12500000000000003,0.12500000000000003,0.4,1597,0.4953,-2.5466,-4066.98
0.05,0.1,False,0.8,0.7,1.6,0.14285714285714288,0.28571428571428575,0.0,0.14285714285714288,0.4285714285714286,0.21428571428571425,0.21428571428571425,0.14285714285714285,0.21428571428571425,0.21428571428571425,0.19999999999999996,2073,0.4592,-2.581,-5350.32
0.07,1.0,True,0.6,0.65,1.4,0.27272727272727276,0.27272727272727276,0.0,0.27272727272727276,0.18181818181818185,0.25,0.125,0.125,0.25,0.25,0.4,1115,0.5614,-2.6627,-2968.87
0.07,0.15,False,0.6,0.65,1.6,0.25,0.37499999999999994,0.0,0.125,0.25,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.33333333333333326,0.33333333333333326,0.4,2071,0.4457,-2.6677,-5524.73
0.03,0.1,False,0.7,0.65,1.3,0.2,0.2,0.0,0.3,0.3,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.30000000000000004,3155,0.4729,-2.6906,-8488.72
0.03,0.15,True,0.8,0.7,1.4,0.2,0.3,0.0,0.2,0.3,0.23076923076923075,0.15384615384615385,0.15384615384615385,0.23076923076923075,0.23076923076923075,0.19999999999999996,1738,0.565,-2.6939,-4682.02
0.03,1.0,True,0.5,0.6,1.6,0.2,0.3,0.0,0.3,0.2,0.2727272727272727,0.2727272727272727,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.5,1863,0.5641,-2.7427,-5109.63
0.07,0.2,False,0.7,0.6,1.4,0.375,0.25000000000000006,0.0,0.25000000000000006,0.12500000000000003,0.16666666666666669,0.25,0.16666666666666669,0.25,0.16666666666666669,0.30000000000000004,2981,0.4673,-2.8021,-8353.05
