game_date,home_team,away_team,snapshot_label,snapshot_logged_at,fd_home_ml,fd_away_ml,market_prob_home,market_prob_away,home_win,residual,home_bullpen_3d_pitches,away_bullpen_3d_pitches,home_lineup_vs_away_pitch_mix,away_lineup_vs_home_pitch_mix,home_team_base_runs_delta,away_team_base_runs_delta,home_away_density_altitude_delta,travel_fatigue,market_total_mismatch
2021-04-10,SF,COL,historical,,-184.0,154.0,0.622019,0.377981,1,0.377981,28.0,58.0,-0.587573,-0.705159,0.815061,2.808581,-5.27,0.5,-44.795
2021-04-10,HOU,OAK,historical,,-154.0,130.0,0.582374,0.417626,0,-0.582374,112.0,68.0,1.19111,-1.389394,2.821514,1.268134,0.033,1.0,0.297
2021-04-10,PIT,CHC,historical,,134.0,-158.0,0.411011,0.588989,1,0.588989,52.0,62.0,0.011523,0.145682,0.614684,1.13588,0.127,0.5,1.0795
2021-04-10,BAL,BOS,historical,,110.0,-130.0,0.457256,0.542744,0,-0.457256,89.0,84.0,-0.962487,-0.725199,1.85399,2.644351,0.0,0.0,0.0
2021-04-10,TEX,SD,historical,,138.0,-164.0,0.403472,0.596528,0,-0.403472,75.0,26.0,-0.069463,0.361231,2.023345,1.265622,0.541,1.0,4.869
2021-04-10,TOR,LAA,historical,,-118.0,100.0,0.519824,0.480176,1,0.480176,123.0,93.0,0.48343,-0.101564,1.029426,2.904271,0.096,1.5,1.008
2021-04-10,ATL,PHI,historical,,-148.0,126.0,0.574234,0.425766,1,0.425766,82.0,77.0,-1.241975,-0.446949,0.461945,1.678182,1.01,0.0,8.08
2021-04-10,ARI,CIN,historical,,116.0,-136.0,0.445485,0.554515,1,0.554515,83.0,51.0,-0.69253,2.848365,1.497924,4.295158,0.592,1.5,5.624
2021-04-10,LAD,WAS,historical,,-186.0,156.0,0.624751,0.375249,1,0.375249,74.0,83.0,2.334726,-0.065377,1.849906,0.670547,0.5,1.5,3.75
2021-04-11,BAL,BOS,historical,,122.0,-144.0,0.43287,0.56713,0,-0.43287,71.0,86.0,-0.28492,0.311675,1.713939,2.729782,0.0,0.0,0.0
2021-04-11,PIT,CHC,historical,,124.0,-146.0,0.429289,0.570711,1,0.570711,38.0,94.0,0.421948,0.113111,1.087605,1.094609,0.127,0.5,1.0795
2021-04-11,TB,NYY,historical,,128.0,-152.0,0.42101,0.57899,0,-0.42101,46.0,118.0,0.871814,-0.215902,2.130557,1.409347,-0.045,0.0,-0.405
2021-04-11,MIN,SEA,historical,,-186.0,156.0,0.624751,0.375249,0,-0.624751,59.0,36.0,0.839535,-0.062734,2.458747,2.352979,0.827,1.0,7.0295
2021-04-11,CHW,KC,historical,,-130.0,110.0,0.542744,0.457256,0,-0.542744,0.0,47.0,0.132549,-0.111171,3.05787,2.42557,-0.146,0.0,-1.241
2021-04-11,STL,MIL,historical,,-132.0,112.0,0.546733,0.453267,0,-0.546733,102.0,121.0,0.704314,-1.02698,2.636602,1.623937,-0.19,0.0,-1.615
2021-04-11,TEX,SD,historical,,146.0,-174.0,0.390291,0.609709,0,-0.390291,81.0,67.0,-0.260657,1.369351,2.006354,1.210447,0.541,1.0,4.869
2021-04-11,SF,COL,historical,,-126.0,108.0,0.536961,0.463039,1,0.463039,71.0,79.0,-0.810935,0.181444,0.951241,2.56838,-5.27,0.5,-39.525
2021-04-11,LAD,WAS,historical,,-162.0,136.0,0.59337,0.40663,1,0.40663,45.0,70.0,2.497805,1.067859,2.240538,0.620693,0.5,1.5,3.75
2021-04-11,ARI,CIN,historical,,100.0,-118.0,0.480176,0.519824,1,0.519824,55.0,111.0,-0.774372,2.103535,1.824241,3.756876,0.592,1.5,5.624
2021-04-11,ATL,PHI,historical,,-180.0,152.0,0.618321,0.381679,0,-0.618321,72.0,80.0,-1.250268,-0.273973,0.756829,1.655627,1.01,0.0,9.595
2021-04-12,PIT,SD,historical,,198.0,-240.0,0.322214,0.677786,0,-0.322214,59.0,124.0,0.337741,0.496669,1.29705,1.034857,0.712,1.5,5.34
2021-04-12,TOR,NYY,historical,,172.0,-205.0,0.353582,0.646418,0,-0.353582,117.0,119.0,0.40724,-0.480186,2.093758,1.776862,0.195,1.0,1.755
2021-04-12,TB,TEX,historical,,-210.0,176.0,0.651529,0.348471,1,0.348471,95.0,89.0,0.141946,-0.685603,2.021138,1.692891,-0.541,0.5,-3.787
2021-04-12,ATL,MIA,historical,,-132.0,112.0,0.546733,0.453267,0,-0.546733,101.0,61.0,-0.964901,-0.175898,0.862308,1.479415,1.04,0.0,8.84
2021-04-12,MIL,CHC,historical,,-142.0,120.0,0.563492,0.436508,1,0.436508,131.0,86.0,-0.238818,0.084485,1.875365,0.921755,0.035,0.0,0.2975
2021-04-12,STL,WAS,historical,,-144.0,122.0,0.56713,0.43287,0,-0.56713,114.0,88.0,-0.02412,0.647322,2.511559,0.406023,0.43,0.5,3.655
2021-04-12,KC,LAA,historical,,-104.0,-112.0,0.491091,0.508909,0,-0.491091,51.0,102.0,0.305734,0.575993,2.377717,2.485392,0.587,0.0,5.283
2021-04-12,HOU,DET,historical,,-270.0,220.0,0.700162,0.299838,0,-0.700162,100.0,136.0,0.850447,0.271179,2.553354,1.061713,-0.557,1.5,-4.7345
2021-04-12,ARI,OAK,historical,,114.0,-134.0,0.449343,0.550657,0,-0.449343,63.0,43.0,0.69996,-0.688526,1.783922,1.501052,1.072,-1.0,10.184
2021-04-12,SF,CIN,historical,,-124.0,106.0,0.532788,0.467212,0,-0.532788,77.0,157.0,-0.221112,1.742553,0.860223,3.326713,-0.48,1.5,-4.08
2021-04-13,MIN,BOS,historical,,-154.0,130.0,0.582374,0.417626,0,-0.582374,80.0,81.0,0.63033,0.809408,2.577629,2.880845,0.827,0.5,7.443
2021-04-13,ARI,OAK,historical,,102.0,-120.0,0.475779,0.524221,0,-0.475779,62.0,70.0,0.57286,-0.173151,1.949041,1.777304,1.072,0.0,9.112
