game_date,home_team,away_team,snapshot_label,snapshot_logged_at,fd_home_ml,fd_away_ml,market_prob_home,market_prob_away,home_win,residual
2021-04-22,BOS,SEA,historical,,-168.0,142.0,0.602704,0.397296,0,-0.602704
2021-04-22,CHC,NYM,historical,,-116.0,-104.0,0.513007,0.486993,1,0.486993
2021-04-22,HOU,LAA,historical,,-118.0,100.0,0.519824,0.480176,1,0.480176
2021-04-22,SF,MIA,historical,,-146.0,124.0,0.570711,0.429289,1,0.429289
2021-04-22,LAD,SD,historical,,-180.0,152.0,0.618321,0.381679,0,-0.618321
2021-04-23,CHC,MIL,historical,,-164.0,138.0,0.596528,0.403472,1,0.403472
2021-04-23,BAL,OAK,historical,,116.0,-136.0,0.445485,0.554515,0,-0.445485
2021-04-23,TB,TOR,historical,,-178.0,150.0,0.615491,0.384509,0,-0.615491
2021-04-23,DET,KC,historical,,100.0,-118.0,0.480176,0.519824,0,-0.480176
2021-04-23,NYM,WAS,historical,,-290.0,230.0,0.710468,0.289532,1,0.289532
2021-04-23,BOS,SEA,historical,,-156.0,132.0,0.585707,0.414293,1,0.414293
2021-04-23,ATL,ARI,historical,,-164.0,138.0,0.596528,0.403472,1,0.403472
2021-04-23,HOU,LAA,historical,,-166.0,140.0,0.599639,0.400361,1,0.400361
2021-04-23,MIN,PIT,historical,,-158.0,134.0,0.588989,0.411011,1,0.411011
2021-04-23,CHW,TEX,historical,,-148.0,126.0,0.574234,0.425766,1,0.425766
2021-04-23,STL,CIN,historical,,-116.0,-102.0,0.515397,0.484603,1,0.484603
2021-04-23,COL,PHI,historical,,-122.0,104.0,0.528542,0.471458,1,0.471458
2021-04-23,SF,MIA,historical,,-138.0,118.0,0.55831,0.44169,1,0.44169
2021-04-23,LAD,SD,historical,,-152.0,128.0,0.57899,0.42101,0,-0.57899
2021-04-24,BOS,SEA,historical,,-210.0,176.0,0.651529,0.348471,0,-0.651529
2021-04-24,DET,KC,historical,,102.0,-120.0,0.475779,0.524221,0,-0.475779
2021-04-24,MIN,PIT,historical,,-215.0,180.0,0.656489,0.343511,0,-0.656489
2021-04-24,STL,CIN,historical,,-132.0,112.0,0.546733,0.453267,1,0.453267
2021-04-24,CHC,MIL,historical,,-112.0,-104.0,0.508909,0.491091,0,-0.508909
2021-04-24,NYM,WAS,historical,,-200.0,168.0,0.641148,0.358852,0,-0.641148
2021-04-24,HOU,LAA,historical,,-166.0,140.0,0.599639,0.400361,1,0.400361
2021-04-24,TB,TOR,historical,,-146.0,124.0,0.570711,0.429289,1,0.429289
2021-04-24,BAL,OAK,historical,,134.0,-158.0,0.411011,0.588989,0,-0.411011
2021-04-24,CHW,TEX,historical,,-172.0,144.0,0.606755,0.393245,1,0.393245
2021-04-24,COL,PHI,historical,,148.0,-176.0,0.387379,0.612621,0,-0.387379
2021-04-24,SF,MIA,historical,,-162.0,136.0,0.59337,0.40663,0,-0.59337
2021-04-24,LAD,SD,historical,,-154.0,130.0,0.582374,0.417626,1,0.417626
2021-04-25,BAL,OAK,historical,,102.0,-120.0,0.475779,0.524221,1,0.524221
2021-04-25,BOS,SEA,historical,,-220.0,184.0,0.661304,0.338696,1,0.338696
2021-04-25,NYM,WAS,historical,,-154.0,130.0,0.582374,0.417626,1,0.417626
