"pitches","player_id","player_name","game_date","game_pk","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
30,607216,"Krehbiel, Joey","2022-06-24",661455,30,100,0,0,0,0,0,0.159,0.098,0,7,93.5,35.5,2021,88.1,88,5,13,17,-0.09999999999999432,6.18,118,164,120,151,298,330,300,"1.742","-1.742",,,7,4,0,0,0,0,3,42.9,0,0,2.259,0.70067,0.71333,-0.05667,"91.4",258,50,0,0,5.62,-1.52,0.53,1.93,0,0,"-5.806666667",0.098,0.292,"5.806666667",-0.098,-0.098,-0.292,-0.159,38.5,"27.8",,,,,,
30,670950,"Richards, Trevor","2022-09-06",663458,30,100,0.6,0.2,0.6,0.8,0.63,0.465,0.33,3,5,80.4,18.2,2359,89.6,89.4,1,12,18,-0.19999999999998863,6.35,117,161,113,150,289,318,299,"-1.806","1.806",,,7,5,2,1,0,0,0,0,2,28.6,1.859,1.02033,0.817,-0.35833,"90.5",131,20,20,14.285714285714285,6.35,-2.44,-0.55,2.22,0.714,1,"6.02",0.522,0.543,"-6.02",0.27,0.19199999999999995,0.257,0.165,8.3,"52.0",,,,,,
30,676760,"Marinaccio, Ron","2022-07-28",661257,30,100,0,0,0,0,0,0.074,0.082,0,6,87.7,20.7,2266,90.6,90.76,6,14,16,0.20000000000000284,6.64,124,159,124,172,286,315,288,"1.497","-1.497",,,6,3,0,0,0,0,3,50,0,0,2.02567,0.80933,1.147,-0.795,"91.2",110,33.33333333333333,0,0,5.15,-3.03,-0.56,2.15,0,0,"-4.99",0.082,0.089,"4.99",-0.082,-0.082,-0.089,-0.074,42.9,"29.8",,,,,,
30,676477,"Whitlock, Garrett","2022-04-16",663238,30,100,0.222,0,0.5,0.222,0.246,0.182,0.136,2,9,95.3,12.3,2014,89.3,90.87,7,14,16,1.6000000000000085,7.16,114,162,119,152,286,325,301,"0.748","-0.748",,,10,4,2,0,0,0,5,50,1,10,2.406,0.495,0.847,-0.01567,"92.8",149,50,0,0,5.62,-1.48,0.15,2.38,0.3,0,"-2.493333333",0.222,0.149,"2.493333333",0.086,0.07799999999999999,0.073,0.064,50,"36.9",,,,,,
29,605280,"Holmes, Clay","2022-06-02",661329,29,100,0,0,0,0,0.355,0.399,0.093,0,3,90.1,-32,2292,96.6,96.13,4,11,18,-0.5,6.09,118,158,113,153,299,324,284,"-0.042","0.042",,,6,2,0,0,0,0,1,16.7,1,16.7,2.10621,0.36138,1.06241,-0.80862,"92.0",3,50,0,0,6.2,-0.91,-0.61,2.74,0.5,0,"0.144827586",0.546,0.093,"-0.144827586",-0.093,-0.04600000000000004,-0.093,-0.044,36.4,"42.7",,,,,,
29,657240,"Merryweather, Julian","2022-09-20",661591,29,100,0.6,0.6,0.667,1.2,0.745,0.693,0.517,3,5,103.9,7.3,2293,91.5,91.77,3,10,19,0.29999999999999716,6.53,111,154,115,148,290,317,281,"-2.609","2.609",,,7,4,2,0,0,1,1,14.3,2,28.6,1.92069,0.84,0.40138,0.03517,"97.1",200,100,25,14.285714285714285,6.23,-1.26,0.21,2.08,0.714,1,"8.996551724",0.655,1.13,"-8.996551724",0.083,0.05899999999999994,0.07,0.052,30,"52.0",,,,,,
29,676534,"Faucher, Calvin","2022-09-05",661852,29,100,0.25,0,0.5,0.25,0.377,0.304,0.122,1,4,85,0.5,2506,92.7,91.34,2,11,18,-1.4000000000000057,5.72,97,151,118,153,303,324,296,"-0.186","0.186",,,6,2,1,0,0,0,2,33.3,2,33.3,1.80207,0.92143,0.26552,-0.25379,"89.3",157,50,0,0,5.95,-2.45,0.09,2.16,0.5,0,"0.64137931",0.415,0.16,"-0.64137931",0.128,0.08500000000000002,0.09,0.073,18.2,"44.7",,,,,,
29,672391,"Ort, Kaleb","2022-09-04",663213,29,100,0.167,0,0.2,0.167,0.225,0.43,0.346,1,6,93.2,11.4,2060,93.4,92.97,1,13,16,-0.4000000000000057,6.14,102,156,124,150,290,327,298,"0.51","-0.51",,,7,5,1,0,0,0,1,14.3,1,14.3,1.69931,0.93655,0.6431,-0.40517,"92.4",193,40,0,0,5.47,-2.82,0.02,2.47,0.286,0,"-1.75862069",0.44,0.556,"1.75862069",-0.179,-0.15400000000000003,-0.389,-0.205,7.7,"33.3",,,,,,
29,660825,"Bazardo, Eduard","2022-09-26",663250,29,100,0.143,0.429,0,0.571,0.345,0.267,0.172,1,7,88.1,21.8,2321,87.6,86.56,5,12,17,-1,5.56,105,164,136,152,288,330,296,"-0.531","0.531",,,8,5,0,0,0,1,2,25,1,12.5,2.45897,0.54207,-0.31759,-0.03483,"92.0",162,40,0,0,5.63,-2.23,-0.13,2.3,0.25,0,"1.831034483",0.275,0.304,"-1.831034483",-0.029,-0.025000000000000022,0.267,0.078,41.7,"36.0",,,,,,
29,669711,"Weissert, Greg","2022-09-02",661855,29,100,0.5,0.167,0.75,0.667,0.505,0.195,0.198,3,6,73.4,34,2404,88.3,87.39,3,14,15,-0.8999999999999915,6.12,97,144,113,142,302,336,289,"-1.065","1.065",,,6,4,2,1,0,0,2,33.3,0,0,2.44931,0.56621,0.0069,-0.12414,"89.0",192,25,0,0,5.08,-3.62,-0.08,2.19,0.5,0,"3.672413793",0.198,0.249,"-3.672413793",0.302,0.302,0.418,0.31,21.4,"20.1",,,,,,
29,542888,"Armstrong, Shawn","2022-09-20",662012,33,87.9,0.2,0,0.167,0.2,0.225,0.204,0.155,1,5,77.6,15.8,2263,94.4,94.73,0,19,10,0.29999999999999716,6.54,100,151,119,148,305,325,292,"0.602","-0.602",,,8,6,1,0,0,0,0,0,2,25,1.47345,1.09207,0.61414,0.61414,"88.4",188,0,0,0,5.89,-1.89,0.36,2.48,0.375,0,"-2.075862069",0.348,0.182,"2.075862069",0.045,0.027000000000000024,0.018,0.021,0,"41.2",,,,,,
29,476595,"Luetge, Lucas","2022-06-09",661697,29,100,0.143,0,0.143,0.143,0.197,0.399,0.317,1,7,80.7,18.3,2517,82.6,82.82,0,11,18,0.20000000000000284,6.31,107,159,124,149,297,323,282,"0.894","-0.894",,,8,7,1,0,0,0,0,0,1,12.5,3.31793,0.07552,-0.87069,0.21,"90.6",166,28.57142857142857,0,0,6.17,0.48,-0.61,2.15,0.25,0,"-3.082758621",0.402,0.519,"3.082758621",-0.174,-0.15200000000000002,-0.376,-0.202,0,"45.4",,,,,,
29,663423,"Thornton, Trent","2022-06-25",661264,29,100,0.143,0,0.25,0.143,0.197,0.204,0.142,1,7,90.2,25,2677,88.2,87.72,6,11,18,-0.5,5.95,106,153,122,148,301,323,293,"0.809","-0.809",,,8,4,1,0,0,0,3,37.5,1,12.5,2.44724,0.53571,-0.36345,-0.07655,"91.7",116,50,0,0,5.46,-1.31,0.46,2.1,0.25,0,"-2.789655172",0.249,0.17,"2.789655172",0.001,0.0010000000000000009,-0.027,-0.007,54.5,"40.3",,,,,,
