key_retro,key_fangraphs,key_mlbam,name_last,name_first
stews002,1322,122784,Stewart,Shannon
hunth101,1006202,116333,Hunter,Herb
white106,1013867,124166,White,Ed
noled001,1009620,119825,Noles,Dickie
martr003,1120,134002,Martínez,Ramón
santn001,1011445,121700,Santovenia,Nelson
arunh101,1000330,110343,Arundel,Harry
shepj101,1011868,122127,Sheppard,John
oldfd101,1009760,119968,Oldfield,Dave
lolim101,1007712,117875,Lolich,Mickey
moode001,1009080,119276,Moody,Eric
lindv101,1007612,117776,Lindaman,Vive
cuetj001,6893,456501,Cueto,Johnny
blanh101,1001049,111078,Blankenship,Homer
boydj001,1020,150150,Boyd,Jason
crisc001,1572,424825,Crisp,Coco
schod101,1011601,121853,Schofield,Dick
youna001,1014362,124685,Young,Anthony
bordp001,1068,111232,Borders,Pat
malom001,9920,476011,Maloney,Matt
ferns001,1004001,114074,Fernandez,Sid
bluej101,1001092,111122,Bluejacket,Jim
josek001,1160,276529,Joseph,Kevin
romos001,9817,489265,Romo,Sergio
britt001,1001446,111483,Brito,Tilson
peguf001,5496,501317,Peguero,Francisco
carer001,1001942,111986,Carew,Rod
ferrb102,1004004,114084,Ferrazzi,Bill
thomd002,2126,425663,Thompson,Derek
keelw101,1006747,116891,Keeler,Willie
sloch001,1012069,122329,Slocumb,Heathcliff
calvj101,1001855,111899,Calvo,Jack
castc002,1002060,112111,Castillo,Carlos
barbt101,1000532,110552,Barber,Turner
dolac102,1003361,113423,Dolan,Cozy
valeb103,1013323,123615,Valentine,Bob
unrot001,1013284,123568,Unroe,Tim
stalj001,13723,607732,Stallings,Jacob
burdp001,25459,680814,Burdick,Peyton
hellu101,1005613,115728,Hellings,
rosst001,7872,475115,Ross,Tyson
sweeb103,1012770,123043,Sweeney,Bill
collj102,1002469,112523,Collum,Jackie
kiefj101,1006891,117038,Kiefer,Joe
swarb101,1012764,123028,Swartz,Bud
burkb001,17968,656271,Burke,Brock
bowdb001,20198,641386,Bowden,Ben
nootl001,21454,663457,Nootbaar,Lars
edgij001,10796,572831,Edgin,Josh
schmd101,1011581,121829,Schmidt,Dave
rom-d001,24602,680723,Rom,Drew
lemad001,9874,518934,LeMahieu,DJ
knolp101,1007048,117200,Knoll,Punch
portj101,1010454,120681,Porter,Jay
sprah102,1012357,122610,Spragins,Homer
reyev001,15487,622682,Reyes,Víctor
wojcs001,1014181,124500,Wojciechowski,Steve
schwc001,7851,452737,Schwinden,Chris
gregk001,1793,276514,Gregg,Kevin
washc001,1013654,123962,Washington,Claudell
menda001,3752,458657,Méndez,Adalberto
morrl001,9205,489149,Morrison,Logan
dascd001,1002998,113062,Dascenzo,Doug
oneas101,1009803,120013,O'Neal,Oran
dunaj001,19727,656388,Dunand,Joe
tillr001,1013068,123345,Tillman,Rusty
lee-c005,29574,695445,Lee,Chase
murpm102,1009371,119565,Murphy,Mike
johnt104,1006507,116554,Johns,Tommy
maddc101,1007939,118115,Maddern,Clarence
macph101,1007933,118104,MacPherson,Harry
blact101,1001022,111050,Blackwell,Tim
lafie101,1007250,117405,Lafitte,Ed
meinw101,1008732,118917,Meinert,Walt
culln102,1002865,112926,Cullop,Nick
allim101,1000170,110174,Allison,Milo
frieb104,1004351,114436,Friedrichs,Bob
welct102,1013761,124060,Welch,Tub
reedi101,1010764,121004,Reeder,Icicle
matol001,152,275928,Matos,Luis
delor101,1003181,113244,de los Santos,Ramón
oylea101,1009928,120147,Oyler,Andy
tabaj002,2411,467798,Tábata,José
barrj003,18356,642545,Barría,Jaime
fairr102,1003904,113982,Faircloth,Rags
woodj107,1014220,124533,Wood,Jake
mansl101,1008080,118255,Manske,Lou
mackg101,1007918,118095,MacKenzie,Gordon
martm101,1008184,118347,Martin,Morrie
sherf101,1011882,122142,Sherry,Fred
reync101,1010866,121104,Reynolds,Charlie
penat002,2240,430640,Peña,Tony
dishg001,1003324,113389,Dishman,Glenn
goodc101,1004862,114956,Goodwin,Clyde
waitc101,1013495,123797,Waitt,Charlie
mcfae101,1008491,118674,McFarland,Ed
jacka002,17276,656577,Jackson,Alex
bakep101,1000465,110485,Baker,Phil
leigj101,1007495,117646,Leighton,John
mcgrt001,1008545,118724,McGraw,Tug
muelr101,1009283,119478,Mueller,Ray
duenb001,4064,488846,Duensing,Brian
vanzd101,1013364,123655,Van Zant,Dick
sizet101,1012027,122287,Sizemore,Ted
sandj101,1011416,121669,Sanders,John
