season,player_id,name,bats,throws
2022,feyej001,J. P. Feyereisen,R,R
2022,finnk001,Kyle Finnegan,R,R
2022,fishj002,Jake Fishman,L,L
2022,fishn001,Nate Fisher,L,L
2022,flahj002,Jack Flaherty,R,R
2022,flemj001,Josh Fleming,L,L
2022,fleta001,Aaron Fletcher,L,L
2022,fletd002,David Fletcher,R,R
2022,flexc001,Chris Flexen,R,R
2022,flord002,Dylan Floro,L,R
2022,flore001,Estevan Florial,L,R
2022,florw001,Wilmer Flores,R,R
2022,folej001,Jason Foley,R,R
2022,fordm002,Mike Ford,L,R
2022,fortn001,Nick Fortes,R,R
2022,fostm001,Matt Foster,R,R
2022,fox-l001,Lucius Fox,B,R
2022,fralj001,Jake Fraley,L,L
2022,franb002,Bowden Francis,R,R
2022,franm004,Maikel Franco,R,R
2022,frant002,Ty France,R,R
2022,franw002,Wander Franco,B,R
2022,fraza001,Adam Frazier,L,R
2022,frazc001,Jackson Frazier,R,R
2022,freef001,Freddie Freeman,L,R
2022,freek001,Kyle Freeland,L,L
2022,freet001,Tyler Freeman,R,R
2022,frial001,Luis Frias,R,R
2022,friem001,Max Fried,L,L
2022,friet001,TJ Friedl,L,L
2022,fry-p001,Paul Fry,L,L
2022,fulmm001,Michael Fulmer,R,R
2022,gaddh001,Hunter Gaddis,R,R
2022,gagem001,Matt Gage,L,L
2022,gallc001,Cam Gallagher,R,R
2022,gallg001,Giovanny Gallegos,R,R
2022,gallj002,Joey Gallo,L,R
2022,gallz001,Zac Gallen,R,R
2022,gameb001,Ben Gamel,L,L
2022,garca003,Avisail Garcia,R,R
2022,garca005,Adolis Garcia,R,R
2022,garca006,Aramis Garcia,R,R
2022,garcb001,Bryan Garcia,R,R
2022,garcd004,Dermis Garcia,R,R
2022,garcj006,Jarlin Garcia,L,L
2022,garcj007,Jose Barrero,R,R
2022,garcl004,Leury Garcia,B,R
2022,garcl005,Luis Garcia,R,R
2022,garcl006,Luis Garcia,L,R
2022,garcl007,Luis Garcia,R,R
2022,garcm003,Maikel Garcia,R,R
2022,garcr006,Rico Garcia,R,R
2022,garcr007,Rony Garcia,R,R
2022,garcy001,Yimi Garcia,R,R
2022,garlk001,Kyle Garlick,R,R
2022,garnd001,Dustin Garneau,R,R
2022,garra001,Amir Garrett,R,L
2022,garrb001,Braxton Garrett,R,L
2022,garrr001,Reed Garrett,R,R
2022,garrs003,Stone Garrett,R,R
2022,garvm001,Mitch Garver,R,R
2022,garzr001,Ralph Garza,R,R
2022,gausk001,Kevin Gausman,L,R
2022,germd001,Domingo German,R,R
2022,germf002,Franklin German,R,R
2022,gibai001,Ian Gibaut,R,R
2022,gibsk002,Kyle Gibson,R,R
2022,gil-l001,Luis Gil,R,R
2022,gilbl001,Lucas Gilbreath,L,L
2022,gilbl002,Logan Gilbert,R,R
2022,gilbt001,Tyler Gilbert,L,L
2022,gilek001,Ken Giles,R,R
2022,gilll001,Logan Gillaspie,R,R
2022,gimea001,Andres Gimenez,L,R
2022,ginkk001,Kevin Ginkel,L,R
2022,gioll001,Lucas Giolito,R,R
2022,givem001,Mychal Givens,R,R
2022,glast001,Tyler Glasnow,L,R
2022,godoj001,Jose Godoy,L,R
2022,goldp001,Paul Goldschmidt,R,R
2022,gomba001,Austin Gomber,L,L
2022,gomey001,Yan Gomes,R,R
2022,gonst001,Tony Gonsolin,R,R
2022,gonzc002,Chi Chi Gonzalez,R,R
2022,gonze004,Erik Gonzalez,R,R
2022,gonzl005,Luis Gonzalez,L,L
2022,gonzm002,Marwin Gonzalez,B,R
2022,gonzm005,Marco Gonzales,L,L
