player_id,player_name,game_date,game_pk,pa,woba,xwoba,so,bb,hrs,k_percent,bb_percent,hardhit_percent,swing_miss_percent,pitcher_run_value_per_100,obp
664285,"Valdez, Framber",2024-09-18,745365,28.0,0.271,0.302,6.0,2.0,1.0,21.4,7.1,47.368421052631575,27.1,1.446808511,0.259
608331,"Fried, Max",2024-09-11,744804,27.0,0.457,0.362,6.0,0.0,1.0,22.2,0.0,35.0,20.5,-4.35106383,0.444
676440,"Bibee, Tanner",2024-09-08,746098,21.0,0.356,0.401,4.0,3.0,1.0,19.0,14.3,35.714285714285715,20.5,-0.673404255,0.333
663623,"Irvin, Jake",2024-09-16,745773,26.0,0.176,0.286,5.0,1.0,0.0,19.2,3.8,40.0,14.6,3.115957447,0.192
571760,"Heaney, Andrew",2024-09-22,744955,27.0,0.365,0.424,4.0,1.0,1.0,14.8,3.7,55.00000000000001,13.0,-1.094680851,0.37
693433,"Woo, Bryan",2024-09-17,745205,24.0,0.503,0.406,7.0,1.0,2.0,29.2,4.2,46.66666666666666,37.0,-4.692553191,0.417
669302,"Gilbert, Logan",2024-09-24,746336,24.0,0.374,0.318,6.0,1.0,3.0,25.0,4.2,47.05882352941176,41.3,-1.758510638,0.261
676974,"Meyer, Max",2024-09-03,746020,26.0,0.479,0.293,5.0,1.0,2.0,19.2,3.8,45.0,22.0,-4.989361702,0.385
650911,"Sánchez, Cristopher",2024-09-09,745534,23.0,0.183,0.196,4.0,1.0,0.0,17.4,4.3,22.22222222222222,31.5,2.828723404,0.217
607200,"Fedde, Erick",2024-09-13,744882,20.0,0.318,0.34,3.0,1.0,0.0,15.0,5.0,43.75,13.3,-0.321276596,0.35
663559,"Falter, Bailey",2024-09-05,745451,23.0,0.43,0.379,3.0,2.0,1.0,13.0,8.7,52.94117647058824,15.2,-1.588297872,0.409
680885,"Schwellenbach, Spencer",2024-09-30,747139,25.0,0.156,0.26,5.0,0.0,0.0,20.0,0.0,50.0,20.4,3.610638298,0.16
684007,"Imanaga, Shota",2024-09-22,746825,26.0,0.232,0.276,4.0,0.0,0.0,15.4,0.0,36.36363636363637,16.1,2.60212766,0.231
605397,"Musgrove, Joe",2024-09-02,745373,23.0,0.175,0.247,8.0,2.0,0.0,34.8,8.7,61.53846153846154,36.6,2.835106383,0.217
656731,"Megill, Tylor",2024-09-17,745772,23.0,0.153,0.181,4.0,2.0,0.0,17.4,8.7,21.428571428571427,26.8,2.636170213,0.174
596295,"Gomber, Austin",2024-09-13,746509,27.0,0.333,0.311,4.0,1.0,0.0,14.8,3.7,31.818181818181817,29.2,-0.028723404,0.37
669022,"Gore, MacKenzie",2024-09-15,744801,22.0,0.143,0.289,5.0,2.0,0.0,22.7,9.1,13.333333333333334,21.7,1.922580645,0.182
608379,"Wacha, Michael",2024-09-14,745448,22.0,0.254,0.213,8.0,3.0,0.0,36.4,13.6,18.181818181818183,35.3,0.824731183,0.318
543135,"Eovaldi, Nathan",2024-09-10,747152,23.0,0.467,0.442,6.0,1.0,3.0,26.1,4.3,62.5,15.0,-5.602150538,0.348
571578,"Corbin, Patrick",2024-09-03,746020,26.0,0.36,0.292,8.0,3.0,0.0,30.8,11.5,33.33333333333333,34.9,-0.397849462,0.385
676664,"Sears, JP",2024-09-21,745610,25.0,0.466,0.425,6.0,2.0,2.0,24.0,8.0,52.94117647058824,14.6,-2.711827957,0.44
