Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Chandler Simpson","TBR",132,557,517,148,128,16,4,0,73,43,30,0,57,0,2,8,6,52,11,0.286267,0.05386,0.102334,0.526316,0.324226,0.332689,0.29155,0.656914,0.0464217,7.38486,0.320346,,4.85224,56.0888,-9.72507,84.4998,4.85224,1.8,-5.3234944343566895,-4.339770555496216,0.97338,180.19000244140625,,,,,,,539,4.083333333,539,4.083333333,,,,,,,,,,,,,,,,,,,"Chandler Simpson","31912",802415
"Blaine Crim","TEX",129,551,492,130,82,27,3,18,68,70,47,2,111,7,5,0,14,3,1,0.264228,0.0852995,0.201452,0.423423,0.333938,0.441057,0.334715,0.774995,0.176829,3.97861,0.304348,,-0.694142,74.7947,9.68985,101.223,-0.694142,1.2,0.104464590549469,-8.92272162437439,0.9728,999,,,,,,,665.5,5.158914728,665.5,5.158914728,,,,,,,,,,,,,,,,,,,"Blaine Crim","25714",688760
"Noah Cardenas","MIN",82,316,271,54,36,13,0,5,31,32,37,0,77,7,1,0,5,2,2,0.199262,0.117089,0.243671,0.480519,0.310127,0.302583,0.281233,0.61271,0.103321,2.42925,0.257895,,-0.947169,29.1736,-8.16422,77.5171,-0.947169,2.1,-9.320772409439087,7.9054083824157715,0.968312,999,,,,,,,246.3,3.003658536,246.3,3.003658536,,,,,,,,,,,,,,,,,,,"Noah Cardenas","sa3017624",681433
"Chas McCormick","CHC",111,328,288,65,45,10,1,9,39,38,27,1,91,6,4,3,4,9,4,0.225694,0.0823171,0.277439,0.296703,0.301538,0.361111,0.291546,0.66265,0.135417,5.06325,0.291667,,-0.346398,33.0278,-5.7279,87.096,-0.346398,2.7,-5.362806618213654,3.905173420906067,0.967029,999,,,,,,,300.2,2.704504504,300.2,2.704504504,,,,,,,,,,,,,,,,,,,"Chas McCormick","19599",676801
"Jud Fabian","BAL",121,490,426,81,49,16,1,15,53,50,52,0,175,4,4,4,7,8,4,0.190141,0.106122,0.357143,0.297143,0.281893,0.338028,0.276257,0.619921,0.147887,4.31795,0.275,,-0.731245,43.2577,-14.6396,76.2911,-0.731245,5.2,-14.423657417297363,7.00041139125824,0.966552,999,,,,,,,392.7,3.245454545,392.7,3.245454545,,,,,,,,,,,,,,,,,,,"Jud Fabian","sa3019942",682983
"Andrew Vaughn","MIL",143,581,527,132,82,28,1,21,56,84,43,0,113,7,4,0,15,0,0,0.250474,0.0740103,0.194492,0.380531,0.313253,0.426945,0.32112,0.740198,0.176471,1.43831,0.279597,,-0.871421,72.4541,3.80443,106.317,-0.871421,-2.7,3.478770077228546,-13.373868227005005,0.964714,272.2699890136719,,,,,,,646.5,4.52097902,646.5,4.52097902,,,,,,,,,,,,,,,,,,,"Andrew Vaughn","26197",683734
"Bill Knight","SEA",118,508,457,98,73,16,4,5,61,51,31,0,138,15,4,1,12,21,6,0.214442,0.0610236,0.271654,0.224638,0.284024,0.299781,0.262804,0.583805,0.0853392,7.09192,0.292453,,0.957297,39.2982,-20.7259,72.1112,0.957297,5.8,-15.740786969661713,7.666549324989319,0.963353,999,,,,,,,369.1,3.127966101,369.1,3.127966101,,,,,,,,,,,,,,,,,,,"Bill Knight","sa3019965",681098
"Jhostynxon Garcia","PIT",121,488,446,105,68,19,4,14,63,52,32,0,138,6,3,1,7,6,2,0.235426,0.0655738,0.282787,0.231884,0.293635,0.390135,0.297973,0.683769,0.154709,5.70678,0.306397,,-0.318812,51.6853,-5.97569,87.8227,-0.318812,-1.3,-7.361942023038864,0.49306297302246094,0.957861,999,,,,,,,471.3,3.895041322,471.3,3.895041322,,,,,,,,,,,,,,,,,,,"Jhostynxon Garcia","28142",691373
"Victor Robles","SEA",75,248,219,55,39,10,1,5,30,25,16,0,55,7,2,4,3,13,3,0.251142,0.0645161,0.221774,0.290909,0.319672,0.374429,0.306657,0.694101,0.123288,6.43723,0.310559,,0.962144,28.0148,-1.28828,102.32,0.962144,1.9,1.6402056813240051,-0.8336859941482544,0.956106,727.5399780273438,,,,,,,256,3.413333333,256,3.413333333,,,,,,,,,,,,,,,,,,,"Victor Robles","18363",645302
"Óscar Mercado",,110,408,359,84,57,15,4,8,49,45,35,0,75,6,4,4,6,18,5,0.233983,0.0857843,0.183824,0.466667,0.309406,0.364902,0.297646,0.674308,0.130919,6.82878,0.271429,,0.905449,43.1039,-5.10448,88.4978,0.905449,4.9,-4.656619548797607,0.4026455879211426,0.953163,999,,,,,,,396.1,3.60090909,396.1,3.60090909,,,,,,,,,,,,,,,,,,,"Oscar Mercado","16375",640458
"Kevin Alcántara","CHC",117,473,432,102,69,20,1,12,54,54,36,0,154,3,2,0,9,7,3,0.236111,0.0761099,0.325581,0.233766,0.298097,0.37037,0.293907,0.668468,0.134259,4.0779,0.335821,,-0.541533,48.5352,-7.3534,88.7133,-0.541533,-1.3,-6.86890435218811,0.4379483461380005,0.951622,999,,,,,,,437.6,3.74017094,437.6,3.74017094,,,,,,,,,,,,,,,,,,,"Kevin Alcantara","25971",682634
"Brock Wilken","MIL",93,387,333,64,36,14,1,13,41,45,49,0,138,4,1,0,6,1,0,0.192192,0.126615,0.356589,0.355072,0.302326,0.357357,0.294926,0.659683,0.165165,2.9233,0.278689,,-0.387549,40.0308,-5.69626,88.3736,-0.387549,0.7,-5.720280259847641,2.1219577193260193,0.948783,999,,,,,,,354.8,3.815053763,354.8,3.815053763,,,,,,,,,,,,,,,,,,,"Brock Wilken","sa3022499",694385
"Yasmani Grandal",,74,269,237,55,40,9,0,6,20,26,28,0,54,2,1,1,7,0,0,0.232068,0.104089,0.200743,0.518519,0.317164,0.345992,0.296993,0.663156,0.113924,0.654221,0.275281,,-0.462117,28.2765,-3.50789,84.9354,-0.462117,0.2,-5.238313227891922,5.141946032643318,0.937703,999,,,,,,,243.5,3.29054054,243.5,3.29054054,,,,,,,,,,,,,,,,,,,"Yasmani Grandal","11368",518735
"Kevin Parada","NYM",112,441,398,86,54,19,1,12,40,51,32,0,144,6,4,1,7,2,1,0.21608,0.0725624,0.326531,0.222222,0.281818,0.359296,0.281661,0.641115,0.143216,3.02432,0.300813,,-0.616871,40.867,-11.2405,81.8333,-0.616871,-3.5,-10.11219835281372,4.601851463317871,0.936918,999,,,,,,,372.2,3.323214285,372.2,3.323214285,,,,,,,,,,,,,,,,,,,"Kevin Parada","sa3020575",691006
"Ali Sánchez","NYY",78,266,242,54,39,10,0,5,26,28,18,0,68,2,2,2,10,1,1,0.22314,0.0676692,0.255639,0.264706,0.280303,0.326446,0.268983,0.606749,0.103306,2.28577,0.28655,,-0.599016,21.9117,-9.5182,70.964,-0.599016,4.8,-9.702136933803558,9.6868314743042,0.935429,999,,,,,,,195.5,2.506410256,195.5,2.506410256,,,,,,,,,,,,,,,,,,,"Ali Sanchez","18551",645305
"Kody Hoese",,107,424,387,90,58,20,2,10,44,46,31,0,100,3,3,0,10,1,0,0.232558,0.0731132,0.235849,0.31,0.292453,0.372093,0.290952,0.664546,0.139535,3.2913,0.285714,,-0.407354,42.4901,-7.6088,85.4061,-0.407354,1.2,-7.741217315196991,2.7579071521759033,0.93299,999,,,,,,,384.3,3.591588785,384.3,3.591588785,,,,,,,,,,,,,,,,,,,"Kody Hoese","sa3010021",682210
